image,image_index,payload_bytes,effective_user_bpp,exact_recovery,psnr_db,global_ssim,simple_distance,spam_distance,gate_score,accepted
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\67183260213b8f18.png,29,64,0.001953125,True,45.89334529516216,0.9997063734948636,0.009592059999704361,0.024097997695207596,-1.0772392466658967,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\6e31869cfdabbae4.png,30,64,0.001953125,True,45.67139082379303,0.9997962055113954,0.007159058470278978,0.01830289512872696,-1.5984491058151378,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\7faeb6dad2235e7b.png,31,64,0.001953125,True,45.365558811985125,0.9997971719329646,0.010403323918581009,0.02102501131594181,-1.0677676879216391,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\9d03a4e1ba3d37dd.png,32,64,0.001953125,True,46.48833319953974,0.9998507239267882,0.007735706400126219,0.020855944603681564,-1.4361928581111463,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\a1e702149e3ae159.png,33,64,0.001953125,True,46.880513433865204,0.9997527350059378,0.006050677504390478,0.016460023820400238,-1.809722034225044,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\ac9b3744894f9b34.png,34,64,0.001953125,True,46.21943717544724,0.9998589404755206,0.02639937587082386,0.026115141808986664,1.2752740068950992,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\b413ab0d83bf9090.png,35,64,0.001953125,True,47.034897928497955,0.9998888563523354,0.010712996125221252,0.03567661717534065,-0.5446396486656466,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\c03c6b572d5ff31b.png,36,64,0.001953125,True,46.674586243127465,0.9997418735500377,0.007769262883812189,0.02520688995718956,-1.288789247793039,False
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\c96ae1db78f52287.png,37,64,0.001953125,True,46.58375316935605,0.9997865964404719,0.007458964828401804,0.018181918188929558,-1.561624579499991,True
C:\Users\User\Documents\Articles\Baleba\data\derived\multicorpus_v1_0\ms_coco_val2017\de733604ceab295b.png,38,64,0.001953125,True,44.86730392152762,0.9997935493287412,0.006145155522972345,0.037090759724378586,-1.1195754958098298,False
