payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted
64,76,4,1,1.2,12,noise002,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,12,crop090,projection,19,42,1344,1344,42,0,0.079102,0.665179,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,1.2,16,clean,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,16,jpeg85,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,16,resize075,projection,19,42,1344,1344,42,42,0.957275,1.0,True,,False
64,76,4,1,1.2,16,blur1,projection,19,42,1344,1344,42,42,0.877441,1.0,True,,False
64,76,4,1,1.2,16,noise002,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,16,crop090,projection,19,42,1344,1344,42,0,0.078857,0.665179,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,2,clean,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,2,jpeg85,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,2,resize075,projection,19,29,464,928,29,29,0.966797,1.0,True,,False
64,76,4,2,0.5,2,blur1,projection,19,29,464,928,29,26,0.892578,0.993534,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,2,noise002,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,2,crop090,projection,19,29,464,928,29,0,0.070312,0.443966,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,4,clean,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,4,jpeg85,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,4,resize075,projection,19,29,464,928,29,29,0.961914,1.0,True,,False
64,76,4,2,0.5,4,blur1,projection,19,29,464,928,29,26,0.888672,0.993534,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,4,noise002,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,4,crop090,projection,19,29,464,928,29,0,0.079102,0.443966,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,2,0.5,8,clean,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,8,jpeg85,projection,19,29,464,928,29,29,1.0,1.0,True,,False
64,76,4,2,0.5,8,resize075,projection,19,29,464,928,29,29,0.953125,1.0,True,,False
